song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key
Tarot,Bad Bunny ,41oY4WCTj5kccfesTVFnvN,237.895,0.684,114.011,0,4,0.419,11
All We Know,The Chainsmokers ,2rizacJSyD9S1IQUxUxnsK,194.08,0.586,90.0,1,4,0.296,0
Big Rings,Drake ,7jslhIiELQkgW9IHeYNOWE,217.707,0.675,131.984,0,4,0.27,8
Both,Gucci Mane ,5tFep7dXGd7vEJ668wTPux,190.312,0.405,139.976,0,4,0.344,7
Die A Happy Man,Thomas Rhett ,5kNe7PE09d6Kvw5pAsx23n,227.427,0.389,166.052,1,4,0.4,2
m y . l i f e,J. Cole ,1D3z6HTiQsNmZxjl7F7eoG,218.802,0.587,140.021,0,4,0.0753,7
Legend,Drake ,1ID1QFSNNxi0hiZCNcwjUC,241.853,0.563,100.091,1,4,0.31,1
New Patek,Lil Uzi Vert ,0Fpen1PTuEnCmOJtUU9Iud,343.099,0.785,145.063,0,4,0.718,8
GDFR,Flo Rida ,26rdOwwjC2UnweK3xeS58u,190.186,0.827,145.889,1,4,0.69,5
Everyday,Logic ,4EAV2cKiqKP5UPZmY6dejk,204.747,0.741,149.908,1,4,0.422,1
You & Me,Marc E. Bassy ,3GCL1PydwsLodcpv0Ll1ch,231.133,0.783,129.964,1,4,0.443,6
bellyache,Billie Eilish ,51NFxnQvaosfDDutk0tams,179.172,0.573,99.939,0,4,0.408,4
Notion,The Rare Occasions ,0sTlGEld0h8kIPZaKDYUf4,195.121,0.883,159.488,1,4,0.312,9
Christmas (Baby Please Come Home),Darlene Love ,46pF1zFimM582ss1PrMy68,166.453,0.759,126.627,1,4,0.36,8
Flex,Polo G ,2QqJTIlGKRLJC3onkavYEz,163.902,0.673,164.009,0,4,0.35,10
OOOUUU,Young M.A ,7JYsArznYOjX2jsrT3UEnL,234.65,0.847,166.072,1,4,0.568,7
Lonely,Justin Bieber ,5VxARgPrTIO2kJC6e0MsUh,149.19,0.241,79.461,0,4,0.0719,11
Same Old Love,Selena Gomez ,1BZG99C7Co1r6QUC3zaS59,229.08,0.593,98.02,0,4,0.438,11
Eazy  I Mean It,G,6jmTHeoWvBaSrwWttr8Xvu,236.48,0.562,140.0,1,4,0.142,10
Fast Car,Jonas Blue ,1SN1vSPsr4V4tIUTR3s8YW,212.424,0.578,113.945,1,4,0.548,9
Hot Shower,Chance the Rapper ,00ko9WaS4jOX1kEk3gvHjf,225.924,0.509,150.001,1,4,0.599,9
On Me,Lil Baby ,4Iedi94TIaB2GGb1nMB68v,135.96,0.564,77.972,0,4,0.483,6
SaintTropez,Post Malone ,5dp2DNJtGuNjwgEtAN6BZd,257.872,0.541,84.524,0,4,0.317,9
Maroon,Taylor Swift ,3eX0NZfLtGzoLUxPNvRfqm,218.271,0.398,108.075,1,4,0.0374,7
Once In a While,Timeflies ,6cREm4bV7V79Yxdilx9HDo,215.16,0.687,105.021,1,4,0.345,0
No Brainer,DJ Khaled ,5WvAo7DNuPRmk4APhdPzi8,260.0,0.76,135.702,1,5,0.639,0
