song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key,Energy Levels,Key Signature,Emotional Rating,Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
Party Monster,The Weeknd ,4F7A0DXBrmUAkp32uenhZt,249.213,0.63,77.525,1,4,0.218,1,high-medium energy,C#/Db,highly emotionally negative,589.0,The Weeknd ,Party Monster,221.0,24.0,2.0,(x1),1495895.0,90931727.0
Hurricane,Luke Combs ,6xHI9KjUjYT0FPtGO8Mxa1,222.533,0.813,75.977,1,4,0.515,10,high-energy,A#/Bb,emotionally positive,590.0,Luke Combs ,Hurricane,417.0,0.0,77.0,0,288140.0,90807884.0
Good For You,Selena Gomez ,578Eooad7oUyn4stovZiPg,221.28,0.673,88.952,0,4,0.215,5,high-medium energy,F,highly emotionally negative,591.0,Selena Gomez ,Good For You,309.0,87.0,5.0,0,583377.0,89918074.0
Again,Fetty Wap ,3ESSGgWzRf1xvP7G5hHMhB,312.24,0.733,93.019,0,4,0.291,11,high-medium energy,B,emotionally negative,592.0,Fetty Wap ,Again,344.0,19.0,9.0,0,502578.0,89804385.0
Here,Alessia Cara ,664gdARxaClFsoF5SXKOws,199.453,0.822,120.493,1,4,0.327,0,high-energy,C,emotionally negative,593.0,Alessia Cara ,Here,323.0,24.0,8.0,0,574058.0,89798695.0
Look What You Made Me Do,Taylor Swift ,1P17dC1amhFzptugyAO7Il,211.853,0.709,128.07,0,4,0.506,9,high-medium energy,A,emotionally positive,594.0,Taylor Swift ,Look What You Made Me Do,163.0,28.0,1.0,(x10),3828478.0,89718682.0
Pray For Me,The Weeknd ,6huNf4dutXRjJyGn7f5BPS,211.421,0.678,100.626,1,4,0.196,2,high-medium energy,D,highly emotionally negative,595.0,The Weeknd ,Pray For Me,148.0,35.0,3.0,(x4),1522363.0,89699614.0
Relationship,Young Thug ,25oOaleife6E2MIKmFkPvg,215.307,0.597,145.992,1,4,0.298,2,high-medium energy,D,emotionally negative,596.0,Young Thug ,Relationship,327.0,0.0,53.0,0,426423.0,89108978.0
golden hour,JVKE ,4yNk9iz9WVJikRFle3XEvn,209.26,0.593,94.467,1,3,0.153,4,high-medium energy,E,highly emotionally negative,597.0,JVKE ,golden hour,128.0,8.0,9.0,0,951092.0,89077530.0
Good As Hell,Lizzo ,6KgBpzTuTRPebChN0VTyzV,159.736,0.919,95.982,0,4,0.535,0,high-energy,C,emotionally positive,598.0,Lizzo ,Good As Hell,204.0,0.0,19.0,0,765105.0,88713657.0
Good As Hell,Lizzo ,6KgBpzTuTRPebChN0VTyzV,159.736,0.919,95.982,0,4,0.535,0,high-energy,C,emotionally positive,1479.0,Lizzo ,Good As Hell,86.0,0.0,21.0,0,761636.0,31639258.0
PROVENZA,KAROL G ,3HqcNJdZ2seoGxhn0wVNDK,207.627,0.517,111.002,1,4,0.54,1,high-medium energy,C#/Db,emotionally positive,599.0,KAROL G ,PROVENZA,210.0,0.0,11.0,0,708235.0,88539867.0
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby ,6wWaVoUOzLQJHd3bWAUpdZ,194.732,0.686,132.055,0,4,0.886,1,high-medium energy,C#/Db,highly emotionally positive,600.0,Lil Baby ,"Never Recover (Lil Baby & Gunna, Drake)",179.0,11.0,1.0,(x1),1813449.0,88382182.0
Scars To Your Beautiful,Alessia Cara ,0wI7QkCcs8FUQE1OkXUIqd,230.24,0.739,97.085,1,4,0.451,0,high-medium energy,C,emotionally negative,601.0,Alessia Cara ,Scars To Your Beautiful,264.0,0.0,24.0,0,524903.0,88330659.0
The Kind of Love We Make,Luke Combs ,48UKTR66uUOT9LaUvooTNx,224.427,0.745,102.025,1,4,0.464,1,high-medium energy,C#/Db,emotionally negative,602.0,Luke Combs ,The Kind of Love We Make,193.0,1.0,9.0,0,972167.0,88164187.0
Lights Up,Harry Styles ,4jAIqgrPjKLTY9Gbez25Qb,172.213,0.621,101.987,0,4,0.27,10,high-medium energy,A#/Bb,emotionally negative,603.0,Harry Styles ,Lights Up,205.0,17.0,2.0,(x2),2027630.0,87724368.0
